Subregion,Municipality,ProjectedPopulation,Thefts,TrafAccid,Homicides,SchoolDes,SportsScenari,Extortions,LesionesPer
Suroeste,Urrao,"45,266",22,5,20,189,122,1,35
Suroeste,Valparaiso,"6,152",3,1,4,9,44,1,9
Suroeste,Venecia,"13,231",32,2,7,64,48,1,30
Uraba,Apartado,"183,716",243,8,27,949,86,11,141
Uraba,Arboletes,"41,209",8,3,7,193,34,1,22
Uraba,Carepa,"57,220",56,19,20,328,70,2,44
Uraba,Chigorodo,"78,148",37,18,27,585,54,7,63
Uraba,Murindo,"4,692",1,1,1,41,14,1,1
Uraba,Mutata,"21,077",14,12,13,232,39,1,13
Uraba,Necocli,"63,991",11,7,8,408,52,1,23
Uraba,San Juan de Uraba,"25,652",1,4,2,192,39,1,3
Uraba,San Pedro de Uraba,"31,539",5,1,4,298,87,1,16
Uraba,Vigía del Fuerte,"5,587",1,1,1,70,52,1,6
